Sample in Buffer,Sample in Window,TRIGGER,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wdata[31:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_writechannels[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_loadacc[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getfilters[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getbias[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_conv2d[4:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/i_done2d,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_req,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wen,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/write2
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
115,115,0,0f00399d,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
116,116,0,0f00399d,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
117,117,0,0f00399d,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
118,118,0,0f00399d,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
119,119,0,0f00399d,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
120,120,0,0f00399d,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
121,121,0,0f00399d,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
122,122,0,0f00399d,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
123,123,0,0f00399d,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
124,124,0,10009e01,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
125,125,0,10009e01,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
126,126,0,00002669,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
127,127,0,00002669,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
128,128,0,00002669,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
129,129,0,00002669,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
130,130,0,00002669,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
131,131,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
132,132,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
133,133,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
134,134,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
135,135,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
136,136,0,00002669,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
137,137,0,00002669,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
138,138,0,00002669,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
139,139,0,00002669,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
140,140,0,00002669,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
141,141,0,000090ba,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
142,142,0,000090ba,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
143,143,0,0c00328c,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
144,144,0,0c00328c,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
145,145,0,0c00328c,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
146,146,0,0c00328c,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
147,147,0,0c00328c,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
148,148,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
149,149,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
150,150,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
151,151,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
152,152,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
153,153,0,0c00328c,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
154,154,0,0c00328c,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
155,155,0,0c00328c,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
156,156,0,0c00328c,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
157,157,0,0c00328c,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
158,158,0,18009705,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
159,159,0,18009705,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
160,160,0,05001e6b,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
161,161,0,05001e6b,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
162,162,0,05001e6b,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
163,163,0,05001e6b,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
164,164,0,05001e6b,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
165,165,0,05001e6b,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
166,166,0,05001e6b,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
167,167,0,05001e6b,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
168,168,0,05001e6b,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
